date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2015-10-20,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-21,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-22,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-23,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-24,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-25,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-26,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-27,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-28,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-29,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-30,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-31,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-01,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-02,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-03,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-04,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-05,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
