Scrip Code,COMPANY,ISIN No.,Close Price
532540,Tata Consultancy Services Ltd,INE467B01029,3209.65
500800,Tata Consumer Products Ltd,INE192A01025,856.75
500408,Tata Elxsi Ltd,INE670A01012,7682.5
501301,Tata Investment Corp Ltd,INE672A01018,2413.4
500570,Tata Motors Ltd,INE155A01022,565.75
570001,Tata Motors Ltd DVR,IN9155A01020,311
500400,Tata Power Co Ltd,INE245A01021,223.15
500470,Tata Steel Ltd,INE081A01020,114
532371,Tata Teleservices Maharashtra Ltd,INE517B01013,75.92
540212,TCI Express Ltd,INE586V01016,1636.95
539658,TeamLease Services Ltd,INE985S01024,2406.8
532755,Tech Mahindra Ltd,INE669C01036,1093.2
540595,Tejas Networks Ltd,INE010J01012,711.05
540769,The New India Assurance Company Ltd,INE470Y01017,121.85
500411,Thermax Ltd,INE152A01029,2383.65
522113,Timken India Ltd.,INE325A01013,3485.5
500114,Titan Co Ltd,INE280A01028,2969.55
500420,Torrent Pharmaceuticals Ltd,INE685A01028,1857.95
532779,Torrent Power Ltd,INE813H01021,673.05
500251,Trent Ltd.,INE849A01020,1706.1
521064,Trident Ltd.,INE064C01022,33.36
533655,Triveni Turbine Limited,INE152M01016,408.05
517506,TTK Prestige Ltd,INE690A01028,747.65
540762,Tube Investments Of India,INE974X01010,2974.6
532800,TV18 Broadcast Ltd,INE886H01027,40.23
532343,TVS Motor Co Ltd,INE494B01023,1337.85
532505,UCO Bank,INE691A01018,26.71
500148,Uflex Ltd,INE516A01017,425.5
532538,UltraTech Cement Ltd,INE481G01011,8267.45
532477,Union Bank of India,INE692A01016,71.52
532478,United Breweries Ltd,INE686F01025,1493.45
532432,United Spirits Ltd,INE854D01024,898.75
532539,UNO Minda Ltd,INE405E01023,585.25
512070,UPL Ltd,INE628A01036,685.75
543238,UTI Asset Management Company Ltd,INE094J01016,686.3
532953,V-Guard Industries Ltd,INE951I01027,257.05
534976,V-Mart Retail Limited,INE665J01013,2105.05
532156,Vaibhav Global Ltd,INE884A01027,312.65
502986,Vardhman Textiles Ltd.,INE825A01020,359.05
541578,Varroc Engineering Ltd,INE665L01035,330.15
540180,Varun Beverages Ltd,INE200M01021,801.6
543463,Vedant Fashions Ltd,INE825V01034,1340.1
500295,Vedanta Ltd,INE205A01025,280.5
524200,Vinati Organics Ltd,INE410B01037,1840.65
507880,VIP Industries Ltd,INE054A01027,653.35
532822,Vodafone Idea Ltd,INE669E01016,7.64
500575,Voltas Ltd,INE226A01021,789.35
509966,VST Industries Ltd.,INE710A01016,3439.65
532144,Welspun Corp Ltd,INE191B01025,265.65
514162,Welspun India Ltd.,INE192B01031,92.61
505533,Westlife Development Ltd,INE274F01020,853.9
500238,Whirlpool of India Ltd,INE716A01013,1451
507685,Wipro Ltd,INE075A01022,380.05
532648,Yes Bank Ltd,INE528G01035,16.23
505537,Zee Entertainment Enterprises Ltd,INE256A01028,185.3
504067,Zensar Technologies Ltd,INE520A01027,390.75
533023,ZF Commercial Vehicle Control Systems India Ltd,INE342J01019,11989.85
543320,Zomato Ltd,INE758T01015,75.83
532321,Zydus Lifesciences Ltd,INE010B01027,554.35
531335,Zydus Wellness Ltd,INE768C01010,1497.6
